DATE,PROJECTNAME,ID,WORK_DESCRIPTION,HOURS
10/11,電子發票載具平台開獎訊息調整,P20230012_02,專案建置設定,1
10/11,電子發票載具平台開獎訊息調整,P20230012_02,GIT配置,1
10/11,電子發票載具平台開獎訊息調整,P20230012_02,資料庫調整,2
10/11,中科院SCM報表模組加入董監事、採購員,N20230466_02,專案建置設定,1
10/11,中科院SCM報表模組加入董監事、採購員,N20230466_02,GIT配置,1
10/11,中科院SCM報表模組加入董監事、採購員,N20230466_02,資料庫調整,1
10/11,中科院SCM報表模組加入董監事、採購員,N20230466_02,功能客製,1
10/12,中科院SCM會員模組加入董監事、採購員,N20230466_01,專案建置設定,1
10/12,中科院SCM會員模組加入董監事、採購員,N20230466_01,GIT配置,1
10/12,中科院SCM會員模組加入董監事、採購員,N20230466_01,資料庫調整,1
10/12,中科院SCM會員模組加入董監事、採購員,N20230466_01,功能客製,1
10/12,電子發票載具平台開獎訊息調整,N20230466_02,測試工作,3
10/12,電子發票載具平台開獎訊息調整,N20230466_02,客戶測試回饋與討論,1
10/13,電子發票載具平台開獎訊息調整,P20230012_02,功能客製,5
10/13,電子發票載具平台開獎訊息調整,P20230012_02,測試工作,1
10/13,電子發票載具平台開獎訊息調整,P20230012_02,客戶測試回饋與討論,2
10/16,電子發票載具平台中獎訊息調整,P20230012_01,專案建置設定,1
10/16,電子發票載具平台中獎訊息調整,P20230012_01,GIT配置,1
10/16,電子發票載具平台中獎訊息調整,P20230012_01,資料庫調整,4
10/16,電子發票載具平台中獎訊息調整,P20230012_01,功能客製,2
10/17,電子發票載具平台中獎訊息調整,P20230012_01,測試工作,4
10/17,電子發票載具平台中獎訊息調整,P20230012_01,客戶測試回饋與討論,3
10/17,電子發票載具平台中獎訊息調整,P20230012_01,連線配置與部署工作,1
10/18,電子發票載具平台開獎訊息調整,P20230012_02,連線配置與部署工作,1
10/18,中科院SCM會員模組加入董監事、採購員,N20230466_01,測試工作,4
10/18,中科院SCM會員模組加入董監事、採購員,N20230466_01,客戶測試回饋與討論,3
10/19,中科院SCM會員模組加入董監事、採購員,N20230466_01,連線配置與部署工作,1
10/19,中科院SCM報表模組加入董監事、採購員,N20230466_02,連線配置與部署工作,1
10/19,遠時電子發票專案,P20220350_01,客戶溝通說明,2
10/19,偉全企業SCM維護專案,P20230073_01,環境檢查,1
10/19,偉全企業SCM維護專案,P20230073_01,監測訊息調查,1
10/19,偉全企業SCM維護專案,P20230073_01,可疑資料比對,1
10/19,偉全企業SCM維護專案,P20230073_01,客戶溝通說明,1
10/20,電子發票載具平台中獎訊息調整,P20230012_01,專案建置設定,1
10/20,電子發票載具平台中獎訊息調整,P20230012_01,GIT配置,1
10/20,電子發票載具平台中獎訊息調整,P20230012_01,資料庫調整,4
10/20,電子發票載具平台中獎訊息調整,P20230012_01,連線配置與部署工作,1
10/20,電子發票載具平台開獎訊息調整,P20230012_02,專案建置設定,1
10/23,電子發票載具平台中獎訊息調整,P20230012_01,專案建置設定,1
10/23,電子發票載具平台中獎訊息調整,P20230012_01,GIT配置,1
10/23,電子發票載具平台中獎訊息調整,P20230012_01,資料庫調整,4
10/23,電子發票載具平台中獎訊息調整,P20230012_01,連線配置與部署工作,1
10/23,電子發票載具平台開獎訊息調整,P20230012_02,專案建置設定,1
10/24,中科院SCM會員模組加入董監事、採購員,N20230466_01,專案建置設定,1
10/24,中科院SCM會員模組加入董監事、採購員,N20230466_01,GIT配置,1
10/24,中科院SCM會員模組加入董監事、採購員,N20230466_01,資料庫調整,4
10/24,中科院SCM會員模組加入董監事、採購員,N20230466_01,連線配置與部署工作,1
10/24,中科院SCM報表模組加入董監事、採購員,N20230466_02,專案建置設定,1
10/25,中科院SCM會員模組加入董監事、採購員,N20230466_01,專案建置設定,1
10/25,中科院SCM會員模組加入董監事、採購員,N20230466_01,GIT配置,1
10/25,中科院SCM會員模組加入董監事、採購員,N20230466_01,資料庫調整,4
10/25,中科院SCM會員模組加入董監事、採購員,N20230466_01,功能客製,1
10/25,中科院SCM會員模組加入董監事、採購員,N20230466_01,測試工作,1
10/26,中科院SCM會員模組加入董監事、採購員,N20230466_01,專案建置設定,1
10/26,中科院SCM會員模組加入董監事、採購員,N20230466_01,GIT配置,1
10/26,中科院SCM會員模組加入董監事、採購員,N20230466_01,資料庫調整,1
10/26,中科院SCM會員模組加入董監事、採購員,N20230466_01,功能客製,1
10/26,中科院SCM會員模組加入董監事、採購員,N20230466_01,測試工作,4
